date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:40:49	4291/4291	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2030%20Jun%202021%2008:40:45%20GMT	https://nguyenquocvinh.dzvcl.cf/robots.txt		(from )
15:40:50	29571/29571	---M--	200	added ('OK')	text/html	date:Wed,%2030%20Jun%202021%2008:40:46%20GMT	https://nguyenquocvinh.dzvcl.cf/	C:/My%20Web%20Sites/Profile/nguyenquocvinh.dzvcl.cf/index.html	(from )
15:40:54	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2030%20Jun%202021%2008:40:50%20GMT	https://imgur.com/rFSDEDE.png	C:/My%20Web%20Sites/Profile/imgur.com/rFSDEDE.0.delayed	(from https://nguyenquocvinh.dzvcl.cf/)
15:40:57	153712/153712	---M--	200	added ('OK')	image/png	etag:%22a6de20602666b7ed6551d00018d156a3%22	https://i.imgur.com/rFSDEDE.png	C:/My%20Web%20Sites/Profile/i.imgur.com/rFSDEDE.png	(from https://nguyenquocvinh.dzvcl.cf/)
15:40:58	32/32	---M--	302	error ('Found')	text/html	date:Wed,%2030%20Jun%202021%2008:40:54%20GMT	https://nguyenquocvinh.dzvcl.cf/listapi	C:/My%20Web%20Sites/Profile/nguyenquocvinh.dzvcl.cf/listapi.2.delayed	(from https://nguyenquocvinh.dzvcl.cf/)
15:40:59	14216/14216	---M--	200	added ('OK')	text/html	date:Wed,%2030%20Jun%202021%2008:40:55%20GMT	https://nguyenquocvinh.dzvcl.cf/listapi/	C:/My%20Web%20Sites/Profile/nguyenquocvinh.dzvcl.cf/listapi/index.html	(from https://nguyenquocvinh.dzvcl.cf/)
15:41:00	787/787	---M--	200	added ('OK')	image/gif	etag:%22v1163%22	https://1.bp.blogspot.com/-8q527WLzXg8/T4B34JlQu7I/AAAAAAAAAbw/lQz-x5aFdiI/s1600/bullseyepurple.gif	C:/My%20Web%20Sites/Profile/1.bp.blogspot.com/-8q527WLzXg8/T4B34JlQu7I/AAAAAAAAAbw/lQz-x5aFdiI/s1600/bullseyepurple.gif	(from https://nguyenquocvinh.dzvcl.cf/)
15:41:01	1496/1496	---M--	200	added ('OK')	image/png	etag:%222a0cec0905a2341a33ba02eea0f00152%22	https://i.imgur.com/IXULuQ1.png	C:/My%20Web%20Sites/Profile/i.imgur.com/IXULuQ1.png	(from https://nguyenquocvinh.dzvcl.cf/)
15:41:02	4992659/4992659	---M--	200	added ('OK')	audio/mpeg	date:Wed,%2030%20Jun%202021%2008:40:55%20GMT	https://nguyenquocvinh.dzvcl.cf/music.mp3	C:/My%20Web%20Sites/Profile/nguyenquocvinh.dzvcl.cf/music.mp3	(from https://nguyenquocvinh.dzvcl.cf/)
15:41:02	62256/62256	---M-Z	200	added ('OK')	application/javascript	etag:%22d11aac5ce224776b3bf4b7f3830b5715%22	https://cdn.bio.link/matomo.js	C:/My%20Web%20Sites/Profile/cdn.bio.link/matomo.js	(from https://nguyenquocvinh.dzvcl.cf/)
15:41:04	1386/1386	---M-Z	200	added ('OK')	application/javascript	etag:%225c7f280bc5b5ae0fa2b912b1ced99f56%22	https://cdn.bio.link/plausible.js	C:/My%20Web%20Sites/Profile/cdn.bio.link/plausible.js	(from https://nguyenquocvinh.dzvcl.cf/)
15:41:11	31627/31627	---M--	200	added ('OK')	text/css	date:Fri,%2004%20Jun%202021%2021:57:46%20GMT	https://www.blogger.com/static/v1/widgets/1007218368-widget_css_bundle.css	C:/My%20Web%20Sites/Profile/www.blogger.com/static/v1/widgets/1007218368-widget_css_bundle.css	(from https://nguyenquocvinh.dzvcl.cf/listapi/)
15:41:19	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2030%20Jun%202021%2008:41:15%20GMT	https://imgur.com/Ny6nMnI.png	C:/My%20Web%20Sites/Profile/imgur.com/Ny6nMnI.9.delayed	(from https://nguyenquocvinh.dzvcl.cf/listapi/)
15:41:22	1131788/1131788	---M--	200	added ('OK')	image/png	etag:%229c128e036193d50f076e82dbad73a749%22	https://i.imgur.com/Ny6nMnI.png	C:/My%20Web%20Sites/Profile/i.imgur.com/Ny6nMnI.png	(from https://nguyenquocvinh.dzvcl.cf/listapi/)
15:41:23	45687/45687	---MCZ	200	added ('OK')	text/css	etag:W/%22826c57385f3d35cfed5478ba7b1f5c03%22	https://use.fontawesome.com/releases/v5.1.0/css/all.css	C:/My%20Web%20Sites/Profile/use.fontawesome.com/releases/v5.1.0/css/all.css	(from https://nguyenquocvinh.dzvcl.cf/listapi/)
15:41:24	31000/31000	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:55%20GMT	https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/Profile/maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://nguyenquocvinh.dzvcl.cf/listapi/)
15:41:24	721/721	---M--	200	added ('OK')	image/png	etag:%2278d6b6f9b57cd2c64d0df7f8af74f98d%22	https://i.imgur.com/5v5M8gh.png	C:/My%20Web%20Sites/Profile/i.imgur.com/5v5M8gh.png	(from https://nguyenquocvinh.dzvcl.cf/listapi/)
15:41:30	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2030%20Jun%202021%2008:41:26%20GMT	https://imgur.com/Gxj2F4C.jpg	C:/My%20Web%20Sites/Profile/imgur.com/Gxj2F4C.10.delayed	(from https://nguyenquocvinh.dzvcl.cf/listapi/)
15:41:32	579971/579971	---M--	200	added ('OK')	image/png	etag:%22a142c553c18020171b75e1f556af5dd8%22	https://i.imgur.com/Gxj2F4C.jpg	C:/My%20Web%20Sites/Profile/i.imgur.com/Gxj2F4C.png	(from https://nguyenquocvinh.dzvcl.cf/listapi/)
15:41:33	147306/147306	---M--	200	added ('OK')	text/javascript	date:Tue,%2027%20Apr%202021%2019:12:54%20GMT	https://www.blogger.com/static/v1/widgets/793325732-widgets.js	C:/My%20Web%20Sites/Profile/www.blogger.com/static/v1/widgets/793325732-widgets.js	(from https://nguyenquocvinh.dzvcl.cf/listapi/)
15:41:33	233/233	---M--	200	added ('OK')	image/png	date:Mon,%2028%20Jun%202021%2017:58:06%20GMT	https://www.blogger.com/img/widgets/stats-flipper.png	C:/My%20Web%20Sites/Profile/www.blogger.com/img/widgets/stats-flipper.png	(from https://www.blogger.com/static/v1/widgets/1007218368-widget_css_bundle.css)
15:41:34	335/335	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Jun%202021%2009:52:08%20GMT	https://resources.blogblog.com/img/widgets/s_top.png	C:/My%20Web%20Sites/Profile/resources.blogblog.com/img/widgets/s_top.png	(from https://www.blogger.com/static/v1/widgets/1007218368-widget_css_bundle.css)
